_conf_bin,mean_confidence,actual_accuracy,count
"(0.298, 0.369]",0.32,0.0,6
"(0.369, 0.438]",0.42400000000000004,0.0,5
"(0.438, 0.507]",0.49666666666666665,0.0,3
"(0.507, 0.576]",0.5242857142857142,0.0,7
"(0.576, 0.645]",0.61,0.0,9
"(0.645, 0.714]",0.6869230769230769,0.38461538461538464,13
"(0.714, 0.783]",0.7602173913043478,0.9782608695652174,46
"(0.783, 0.852]",0.8175968992248062,0.9767441860465116,129
"(0.852, 0.921]",0.887922077922078,0.9935064935064936,154
"(0.921, 0.99]",0.964765625,1.0,128
